# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00037040
   -9.94994995    0.00037241
   -9.89989990    0.00037444
   -9.84984985    0.00037650
   -9.79979980    0.00037858
   -9.74974975    0.00038069
   -9.69969970    0.00038281
   -9.64964965    0.00038497
   -9.59959960    0.00038715
   -9.54954955    0.00038936
   -9.49949950    0.00039159
   -9.44944945    0.00039385
   -9.39939940    0.00039614
   -9.34934935    0.00039845
   -9.29929930    0.00040080
   -9.24924925    0.00040317
   -9.19919920    0.00040557
   -9.14914915    0.00040801
   -9.09909910    0.00041047
   -9.04904905    0.00041297
   -8.99899900    0.00041549
   -8.94894895    0.00041805
   -8.89889890    0.00042065
   -8.84884885    0.00042327
   -8.79879880    0.00042593
   -8.74874875    0.00042863
   -8.69869870    0.00043136
   -8.64864865    0.00043413
   -8.59859860    0.00043694
   -8.54854855    0.00043978
   -8.49849850    0.00044266
   -8.44844845    0.00044558
   -8.39839840    0.00044855
   -8.34834835    0.00045155
   -8.29829830    0.00045459
   -8.24824825    0.00045768
   -8.19819820    0.00046081
   -8.14814815    0.00046399
   -8.09809810    0.00046721
   -8.04804805    0.00047048
   -7.99799800    0.00047379
   -7.94794795    0.00047715
   -7.89789790    0.00048057
   -7.84784785    0.00048403
   -7.79779780    0.00048754
   -7.74774775    0.00049111
   -7.69769770    0.00049473
   -7.64764765    0.00049841
   -7.59759760    0.00050214
   -7.54754755    0.00050593
   -7.49749750    0.00050978
   -7.44744745    0.00051369
   -7.39739740    0.00051766
   -7.34734735    0.00052169
   -7.29729730    0.00052579
   -7.24724725    0.00052996
   -7.19719720    0.00053419
   -7.14714715    0.00053849
   -7.09709710    0.00054286
   -7.04704705    0.00054730
   -6.99699700    0.00055182
   -6.94694695    0.00055641
   -6.89689690    0.00056109
   -6.84684685    0.00056584
   -6.79679680    0.00057067
   -6.74674675    0.00057559
   -6.69669670    0.00058059
   -6.64664665    0.00058568
   -6.59659660    0.00059086
   -6.54654655    0.00059613
   -6.49649650    0.00060150
   -6.44644645    0.00060697
   -6.39639640    0.00061253
   -6.34634635    0.00061820
   -6.29629630    0.00062398
   -6.24624625    0.00062986
   -6.19619620    0.00063586
   -6.14614615    0.00064196
   -6.09609610    0.00064819
   -6.04604605    0.00065454
   -5.99599600    0.00066101
   -5.94594595    0.00066761
   -5.89589590    0.00067434
   -5.84584585    0.00068121
   -5.79579580    0.00068821
   -5.74574575    0.00069536
   -5.69569570    0.00070266
   -5.64564565    0.00071011
   -5.59559560    0.00071771
   -5.54554555    0.00072548
   -5.49549550    0.00073341
   -5.44544545    0.00074151
   -5.39539540    0.00074979
   -5.34534535    0.00075826
   -5.29529530    0.00076691
   -5.24524525    0.00077575
   -5.19519520    0.00078480
   -5.14514515    0.00079405
   -5.09509510    0.00080352
   -5.04504505    0.00081321
   -4.99499499    0.00082313
   -4.94494494    0.00083328
   -4.89489489    0.00084368
   -4.84484484    0.00085433
   -4.79479479    0.00086524
   -4.74474474    0.00087643
   -4.69469469    0.00088789
   -4.64464464    0.00089965
   -4.59459459    0.00091171
   -4.54454454    0.00092408
   -4.49449449    0.00093677
   -4.44444444    0.00094981
   -4.39439439    0.00096319
   -4.34434434    0.00097693
   -4.29429429    0.00099106
   -4.24424424    0.00100557
   -4.19419419    0.00102050
   -4.14414414    0.00103585
   -4.09409409    0.00105164
   -4.04404404    0.00106789
   -3.99399399    0.00108462
   -3.94394394    0.00110185
   -3.89389389    0.00111961
   -3.84384384    0.00113790
   -3.79379379    0.00115677
   -3.74374374    0.00117623
   -3.69369369    0.00119631
   -3.64364364    0.00121704
   -3.59359359    0.00123845
   -3.54354354    0.00126057
   -3.49349349    0.00128343
   -3.44344344    0.00130708
   -3.39339339    0.00133155
   -3.34334334    0.00135687
   -3.29329329    0.00138310
   -3.24324324    0.00141028
   -3.19319319    0.00143846
   -3.14314314    0.00146770
   -3.09309309    0.00149804
   -3.04304304    0.00152955
   -2.99299299    0.00156229
   -2.94294294    0.00159633
   -2.89289289    0.00163176
   -2.84284284    0.00166864
   -2.79279279    0.00170706
   -2.74274274    0.00174711
   -2.69269269    0.00178891
   -2.64264264    0.00183254
   -2.59259259    0.00187814
   -2.54254254    0.00192582
   -2.49249249    0.00197572
   -2.44244244    0.00202799
   -2.39239239    0.00208279
   -2.34234234    0.00214031
   -2.29229229    0.00220072
   -2.24224224    0.00226423
   -2.19219219    0.00233109
   -2.14214214    0.00240154
   -2.09209209    0.00247585
   -2.04204204    0.00255432
   -1.99199199    0.00263731
   -1.94194194    0.00272516
   -1.89189189    0.00281831
   -1.84184184    0.00291719
   -1.79179179    0.00302232
   -1.74174174    0.00313426
   -1.69169169    0.00325365
   -1.64164164    0.00338119
   -1.59159159    0.00351770
   -1.54154154    0.00366406
   -1.49149149    0.00382130
   -1.44144144    0.00399058
   -1.39139139    0.00417324
   -1.34134134    0.00437078
   -1.29129129    0.00458495
   -1.24124124    0.00481777
   -1.19119119    0.00507157
   -1.14114114    0.00534909
   -1.09109109    0.00565350
   -1.04104104    0.00598859
   -0.99099099    0.00635882
   -0.94094094    0.00676951
   -0.89089089    0.00722708
   -0.84084084    0.00773929
   -0.79079079    0.00831562
   -0.74074074    0.00896774
   -0.69069069    0.00971018
   -0.64064064    0.01056121
   -0.59059059    0.01154404
   -0.54054054    0.01268856
   -0.49049049    0.01403373
   -0.44044044    0.01563104
   -0.39039039    0.01754952
   -0.34034034    0.01988283
   -0.29029029    0.02275922
   -0.24024024    0.02635452
   -0.19019019    0.03090539
   -0.14014014    0.03671222
   -0.09009009    0.04395256
   -0.04004004    0.05286901
    0.01001001    0.06402495
    0.06006006    0.07687724
    0.11011011    0.09084229
    0.16016016    0.10513943
    0.21021021    0.11900904
    0.26026026    0.13167716
    0.31031031    0.14278908
    0.36036036    0.15229174
    0.41041041    0.16009183
    0.46046046    0.16544657
    0.51051051    0.16648214
    0.56056056    0.16119549
    0.61061061    0.14966698
    0.66066066    0.13456760
    0.71071071    0.11918717
    0.76076076    0.10562825
    0.81081081    0.09454822
    0.86086086    0.08574501
    0.91091091    0.07873335
    0.96096096    0.07300236
    1.01101101    0.06812629
    1.06106106    0.06388145
    1.11111111    0.06025456
    1.16116116    0.05730581
    1.21121121    0.05503076
    1.26126126    0.05332975
    1.31131131    0.05209206
    1.36136136    0.05127600
    1.41141141    0.05086568
    1.46146146    0.05075720
    1.51151151    0.05070785
    1.56156156    0.05041791
    1.61161161    0.04970859
    1.66166166    0.04865284
    1.71171171    0.04751805
    1.76176176    0.04662004
    1.81181181    0.04624076
    1.86186186    0.04655390
    1.91191191    0.04752409
    1.96196196    0.04887298
    2.01201201    0.05020248
    2.06206206    0.05118939
    2.11211211    0.05163270
    2.16216216    0.05142514
    2.21221221    0.05062441
    2.26226226    0.04949777
    2.31231231    0.04841006
    2.36236236    0.04765023
    2.41241241    0.04732754
    2.46246246    0.04737506
    2.51251251    0.04764604
    2.56256256    0.04801488
    2.61261261    0.04842059
    2.66266266    0.04886700
    2.71271271    0.04933635
    2.76276276    0.04968860
    2.81281281    0.04970945
    2.86286286    0.04928535
    2.91291291    0.04852310
    2.96296296    0.04764169
    3.01301301    0.04678892
    3.06306306    0.04607021
    3.11311311    0.04564362
    3.16316316    0.04566351
    3.21321321    0.04619048
    3.26326326    0.04719474
    3.31331331    0.04859965
    3.36336336    0.05029266
    3.41341341    0.05210608
