# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00031122
   -9.94994995    0.00031266
   -9.89989990    0.00031411
   -9.84984985    0.00031557
   -9.79979980    0.00031705
   -9.74974975    0.00031855
   -9.69969970    0.00032006
   -9.64964965    0.00032159
   -9.59959960    0.00032313
   -9.54954955    0.00032469
   -9.49949950    0.00032627
   -9.44944945    0.00032786
   -9.39939940    0.00032948
   -9.34934935    0.00033111
   -9.29929930    0.00033276
   -9.24924925    0.00033442
   -9.19919920    0.00033611
   -9.14914915    0.00033781
   -9.09909910    0.00033954
   -9.04904905    0.00034128
   -8.99899900    0.00034305
   -8.94894895    0.00034483
   -8.89889890    0.00034664
   -8.84884885    0.00034846
   -8.79879880    0.00035031
   -8.74874875    0.00035218
   -8.69869870    0.00035407
   -8.64864865    0.00035599
   -8.59859860    0.00035793
   -8.54854855    0.00035989
   -8.49849850    0.00036188
   -8.44844845    0.00036389
   -8.39839840    0.00036592
   -8.34834835    0.00036798
   -8.29829830    0.00037007
   -8.24824825    0.00037218
   -8.19819820    0.00037432
   -8.14814815    0.00037649
   -8.09809810    0.00037868
   -8.04804805    0.00038091
   -7.99799800    0.00038316
   -7.94794795    0.00038544
   -7.89789790    0.00038776
   -7.84784785    0.00039010
   -7.79779780    0.00039247
   -7.74774775    0.00039488
   -7.69769770    0.00039732
   -7.64764765    0.00039979
   -7.59759760    0.00040230
   -7.54754755    0.00040484
   -7.49749750    0.00040742
   -7.44744745    0.00041003
   -7.39739740    0.00041268
   -7.34734735    0.00041537
   -7.29729730    0.00041810
   -7.24724725    0.00042087
   -7.19719720    0.00042368
   -7.14714715    0.00042652
   -7.09709710    0.00042941
   -7.04704705    0.00043235
   -6.99699700    0.00043533
   -6.94694695    0.00043835
   -6.89689690    0.00044142
   -6.84684685    0.00044454
   -6.79679680    0.00044770
   -6.74674675    0.00045092
   -6.69669670    0.00045418
   -6.64664665    0.00045750
   -6.59659660    0.00046087
   -6.54654655    0.00046429
   -6.49649650    0.00046777
   -6.44644645    0.00047131
   -6.39639640    0.00047490
   -6.34634635    0.00047856
   -6.29629630    0.00048227
   -6.24624625    0.00048605
   -6.19619620    0.00048990
   -6.14614615    0.00049381
   -6.09609610    0.00049778
   -6.04604605    0.00050183
   -5.99599600    0.00050595
   -5.94594595    0.00051014
   -5.89589590    0.00051441
   -5.84584585    0.00051876
   -5.79579580    0.00052318
   -5.74574575    0.00052769
   -5.69569570    0.00053228
   -5.64564565    0.00053695
   -5.59559560    0.00054172
   -5.54554555    0.00054658
   -5.49549550    0.00055153
   -5.44544545    0.00055657
   -5.39539540    0.00056172
   -5.34534535    0.00056697
   -5.29529530    0.00057232
   -5.24524525    0.00057778
