# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00124328
    1.36136136    0.00125862
    1.41141141    0.00127283
    1.46146146    0.00128595
    1.51151151    0.00129875
    1.56156156    0.00131228
    1.61161161    0.00132748
    1.66166166    0.00134501
    1.71171171    0.00136507
    1.76176176    0.00138731
    1.81181181    0.00141078
    1.86186186    0.00143424
    1.91191191    0.00145668
    1.96196196    0.00147751
    2.01201201    0.00149661
    2.06206206    0.00151451
    2.11211211    0.00153236
    2.16216216    0.00155136
    2.21221221    0.00157222
    2.26226226    0.00159515
    2.31231231    0.00162012
    2.36236236    0.00164702
    2.41241241    0.00167551
    2.46246246    0.00170497
    2.51251251    0.00173476
    2.56256256    0.00176460
    2.61261261    0.00179476
    2.66266266    0.00182596
    2.71271271    0.00185906
    2.76276276    0.00189471
    2.81281281    0.00193314
    2.86286286    0.00197383
    2.91291291    0.00201555
    2.96296296    0.00205715
    3.01301301    0.00209815
    3.06306306    0.00213846
    3.11311311    0.00217794
    3.16316316    0.00221709
    3.21321321    0.00225813
    3.26326326    0.00230448
    3.31331331    0.00235925
    3.36336336    0.00242437
    3.41341341    0.00250068
    3.46346346    0.00258800
    3.51351351    0.00268482
    3.56356356    0.00278821
    3.61361361    0.00289440
    3.66366366    0.00299968
    3.71371371    0.00310047
    3.76376376    0.00319337
    3.81381381    0.00327713
    3.86386386    0.00335449
    3.91391391    0.00343036
    3.96396396    0.00350794
    4.01401401    0.00358690
    4.06406406    0.00366460
    4.11411411    0.00373844
    4.16416416    0.00380743
    4.21421421    0.00387276
    4.26426426    0.00393780
    4.31431431    0.00400662
    4.36436436    0.00408227
    4.41441441    0.00416621
    4.46446446    0.00425847
    4.51451451    0.00435778
    4.56456456    0.00446241
    4.61461461    0.00457135
    4.66466466    0.00468477
    4.71471471    0.00480336
    4.76476476    0.00492771
    4.81481481    0.00505854
    4.86486486    0.00519719
    4.91491491    0.00534558
    4.96496496    0.00550546
    5.01501502    0.00567735
    5.06506507    0.00585987
    5.11511512    0.00605034
    5.16516517    0.00624736
    5.21521522    0.00645377
    5.26526527    0.00667651
    5.31531532    0.00692318
    5.36536537    0.00719906
    5.41541542    0.00750637
    5.46546547    0.00784535
    5.51551552    0.00821548
    5.56556557    0.00861611
    5.61561562    0.00904605
    5.66566567    0.00950357
    5.71571572    0.00998712
    5.76576577    0.01049593
    5.81581582    0.01103060
    5.86586587    0.01159359
    5.91591592    0.01218950
    5.96596597    0.01282422
    6.01601602    0.01350280
    6.06606607    0.01422768
    6.11611612    0.01500129
    6.16616617    0.01583262
    6.21621622    0.01674335
    6.26626627    0.01776948
    6.31631632    0.01895777
    6.36636637    0.02036105
    6.41641642    0.02203647
    6.46646647    0.02404653
    6.51651652    0.02646015
    6.56656657    0.02935081
    6.61661662    0.03279044
    6.66666667    0.03684183
    6.71671672    0.04155648
    6.76676677    0.04698725
    6.81681682    0.05322462
    6.86686687    0.06045316
    6.91691692    0.06898976
    6.96696697    0.07924033
    7.01701702    0.09152970
    7.06706707    0.10579067
    7.11711712    0.12117312
    7.16716717    0.13586587
    7.21721722    0.14763151
    7.26726727    0.15505369
    7.31731732    0.15840966
    7.36736737    0.15928997
    7.41741742    0.15958117
    7.46746747    0.16076011
    7.51751752    0.16366983
    7.56756757    0.16846555
    7.61761762    0.17447917
    7.66766767    0.18009029
    7.71771772    0.18306054
    7.76776777    0.18163395
    7.81781782    0.17567555
    7.86786787    0.16662716
    7.91791792    0.15642895
    7.96796797    0.14656458
    8.01801802    0.13770907
    8.06806807    0.12979844
    8.11811812    0.12230518
    8.16816817    0.11463024
    8.21821822    0.10650855
    8.26826827    0.09819173
    8.31831832    0.09025350
    8.36836837    0.08323477
    8.41841842    0.07744946
    8.46846847    0.07299013
    8.51851852    0.06980864
    8.56856857    0.06778879
    8.61861862    0.06678530
    8.66866867    0.06662560
    8.71871872    0.06709606
    8.76876877    0.06796616
    8.81881882    0.06906812
    8.86886887    0.07033653
    8.91891892    0.07173051
    8.96896897    0.07316362
    9.01901902    0.07458001
    9.06906907    0.07606368
    9.11911912    0.07777892
    9.16916917    0.07977986
    9.21921922    0.08190683
    9.26926927    0.08386346
    9.31931932    0.08533128
    9.36936937    0.08601720
    9.41941942    0.08574127
    9.46946947    0.08456778
    9.51951952    0.08284455
    9.56956957    0.08109379
    9.61961962    0.07983039
    9.66966967    0.07940106
    9.71971972    0.07985248
    9.76976977    0.08085539
    9.81981982    0.08179860
    9.86986987    0.08213177
    9.91991992    0.08173712
    9.96996997    0.08095410
   10.02002002    0.08026876
   10.07007007    0.08000845
   10.12012012    0.08021798
   10.17017017    0.08068371
   10.22022022    0.08106790
   10.27027027    0.08111116
   10.32032032    0.08077042
   10.37037037    0.08019612
   10.42042042    0.07961708
   10.47047047    0.07923367
   10.52052052    0.07914178
   10.57057057    0.07931035
   10.62062062    0.07965765
   10.67067067    0.08017619
   10.72072072    0.08097520
   10.77077077    0.08220722
   10.82082082    0.08394646
   10.87087087    0.08607082
   10.92092092    0.08825199
   10.97097097    0.09014728
   11.02102102    0.09161234
   11.07107107    0.09269142
   11.12112112    0.09351623
   11.17117117    0.09425754
   11.22122122    0.09502505
   11.27127127    0.09579677
   11.32132132    0.09648791
   11.37137137    0.09704608
   11.42142142    0.09748784
   11.47147147    0.09787793
   11.52152152    0.09827392
   11.57157157    0.09871056
   11.62162162    0.09922766
   11.67167167    0.09985734
   11.72172172    0.10057872
   11.77177177    0.10131986
   11.82182182    0.10202654
   11.87187187    0.10272386
   11.92192192    0.10347881
   11.97197197    0.10431636
   12.02202202    0.10521125
   12.07207207    0.10615199
   12.12212212    0.10719228
   12.17217217    0.10843413
   12.22222222    0.10994528
   12.27227227    0.11166906
   12.32232232    0.11339780
   12.37237237    0.11482409
   12.42242242    0.11562104
   12.47247247    0.11553444
   12.52252252    0.11450048
   12.57257257    0.11268987
   12.62262262    0.11038532
   12.67267267    0.10782936
   12.72272272    0.10521210
   12.77277277    0.10271862
   12.82282282    0.10050106
   12.87287287    0.09863103
   12.92292292    0.09708972
   12.97297297    0.09575772
   13.02302302    0.09442563
   13.07307307    0.09288877
   13.12312312    0.09107845
   13.17317317    0.08909858
   13.22322322    0.08713632
   13.27327327    0.08535297
   13.32332332    0.08384702
   13.37337337    0.08267298
   13.42342342    0.08185108
   13.47347347    0.08135166
   13.52352352    0.08108422
   13.57357357    0.08091008
   13.62362362    0.08067776
   13.67367367    0.08026661
   13.72372372    0.07961657
   13.77377377    0.07873880
   13.82382382    0.07771977
   13.87387387    0.07671034
   13.92392392    0.07587878
   13.97397397    0.07534769
   14.02402402    0.07516116
   14.07407407    0.07529414
   14.12412412    0.07568306
   14.17417417    0.07625446
   14.22422422    0.07693880
   14.27427427    0.07767489
   14.32432432    0.07841515
   14.37437437    0.07911850
   14.42442442    0.07971808
   14.47447447    0.08009108
   14.52452452    0.08008763
   14.57457457    0.07963385
   14.62462462    0.07881621
   14.67467467    0.07784449
   14.72472472    0.07693786
   14.77477477    0.07624635
   14.82482482    0.07583669
   14.87487487    0.07570645
   14.92492492    0.07580349
   14.97497497    0.07605824
   15.02502503    0.07642979
   15.07507508    0.07693295
   15.12512513    0.07761135
   15.17517518    0.07846815
   15.22522523    0.07941306
   15.27527528    0.08027799
   15.32532533    0.08089669
   15.37537538    0.08118671
   15.42542543    0.08118079
   15.47547548    0.08101201
   15.52552553    0.08088145
   15.57557558    0.08101784
   15.62562563    0.08162885
   15.67567568    0.08285225
   15.72572573    0.08471751
   15.77577578    0.08712070
   15.82582583    0.08981551
   15.87587588    0.09243824
   15.92592593    0.09458934
   15.97597598    0.09594893
   16.02602603    0.09635547
   16.07607608    0.09580998
   16.12612613    0.09443315
   16.17617618    0.09241533
   16.22622623    0.08997978
   16.27627628    0.08735591
   16.32632633    0.08475037
   16.37637638    0.08231743
   16.42642643    0.08014184
   16.47647648    0.07824310
   16.52652653    0.07659671
   16.57657658    0.07515912
   16.62662663    0.07388486
   16.67667668    0.07273458
   16.72672673    0.07167896
   16.77677678    0.07070205
   16.82682683    0.06980447
   16.87687688    0.06900542
   16.92692693    0.06834129
   16.97697698    0.06785652
   17.02702703    0.06758517
   17.07707708    0.06752872
   17.12712713    0.06764027
   17.17717718    0.06782509
   17.22722723    0.06796554
   17.27727728    0.06796811
   17.32732733    0.06780985
   17.37737738    0.06755175
