# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00190625
    1.36136136    0.00190163
    1.41141141    0.00190308
    1.46146146    0.00190871
    1.51151151    0.00191631
    1.56156156    0.00192423
    1.61161161    0.00193208
    1.66166166    0.00194050
    1.71171171    0.00195050
    1.76176176    0.00196353
    1.81181181    0.00198148
    1.86186186    0.00200595
    1.91191191    0.00203738
    1.96196196    0.00207481
    2.01201201    0.00211624
    2.06206206    0.00215926
    2.11211211    0.00220141
    2.16216216    0.00224089
    2.21221221    0.00227727
    2.26226226    0.00231114
    2.31231231    0.00234333
    2.36236236    0.00237470
    2.41241241    0.00240688
    2.46246246    0.00244222
    2.51251251    0.00248222
    2.56256256    0.00252649
    2.61261261    0.00257374
    2.66266266    0.00262307
    2.71271271    0.00267416
    2.76276276    0.00272689
    2.81281281    0.00278092
    2.86286286    0.00283488
    2.91291291    0.00288604
    2.96296296    0.00293134
    3.01301301    0.00296931
    3.06306306    0.00300149
    3.11311311    0.00303158
    3.16316316    0.00306249
    3.21321321    0.00309522
    3.26326326    0.00313023
    3.31331331    0.00316844
    3.36336336    0.00321142
    3.41341341    0.00326162
    3.46346346    0.00332199
    3.51351351    0.00339460
    3.56356356    0.00347971
    3.61361361    0.00357562
    3.66366366    0.00367913
    3.71371371    0.00378605
    3.76376376    0.00389166
    3.81381381    0.00399211
    3.86386386    0.00408615
    3.91391391    0.00417464
    3.96396396    0.00425810
    4.01401401    0.00433606
    4.06406406    0.00440945
    4.11411411    0.00448301
    4.16416416    0.00456462
    4.21421421    0.00466216
    4.26426426    0.00478078
    4.31431431    0.00492229
    4.36436436    0.00508590
    4.41441441    0.00526905
    4.46446446    0.00546805
    4.51451451    0.00567834
    4.56456456    0.00589430
    4.61461461    0.00611047
    4.66466466    0.00632460
    4.71471471    0.00653904
    4.76476476    0.00675816
    4.81481481    0.00698493
    4.86486486    0.00722032
    4.91491491    0.00746614
    4.96496496    0.00772813
    5.01501502    0.00801490
    5.06506507    0.00833435
    5.11511512    0.00869070
    5.16516517    0.00908288
    5.21521522    0.00950589
    5.26526527    0.00995417
    5.31531532    0.01042604
    5.36536537    0.01092452
    5.41541542    0.01145128
    5.46546547    0.01200204
    5.51551552    0.01257361
    5.56556557    0.01317741
    5.61561562    0.01384041
    5.66566567    0.01458985
    5.71571572    0.01544117
    5.76576577    0.01639752
    5.81581582    0.01745577
    5.86586587    0.01861634
    5.91591592    0.01989326
    5.96596597    0.02131694
    6.01601602    0.02292749
    6.06606607    0.02476408
    6.11611612    0.02685991
    6.16616617    0.02924722
    6.21621622    0.03196922
    6.26626627    0.03509525
    6.31631632    0.03873390
    6.36636637    0.04303883
    6.41641642    0.04820733
    6.46646647    0.05447834
    6.51651652    0.06213680
    6.56656657    0.07152843
    6.61661662    0.08308764
    6.66666667    0.09737732
    6.71671672    0.11511475
    6.76676677    0.13711735
    6.81681682    0.16408343
    6.86686687    0.19613353
    6.91691692    0.23204284
    6.96696697    0.26820184
    7.01701702    0.29803632
    7.06706707    0.31363228
    7.11711712    0.31009697
    7.16716717    0.28933119
    7.21721722    0.25909299
    7.26726727    0.22807764
    7.31731732    0.20191955
    7.36736737    0.18266745
    7.41741742    0.17009531
    7.46746747    0.16283886
    7.51751752    0.15893576
    7.56756757    0.15620807
    7.61761762    0.15270635
    7.66766767    0.14715670
    7.71771772    0.13939320
    7.76776777    0.13037187
    7.81781782    0.12149498
    7.86786787    0.11382241
    7.91791792    0.10769282
    7.96796797    0.10272258
    8.01801802    0.09804617
    8.06806807    0.09277494
    8.11811812    0.08651442
    8.16816817    0.07954681
    8.21821822    0.07256614
    8.26826827    0.06625697
    8.31831832    0.06102786
    8.36836837    0.05700661
    8.41841842    0.05416225
    8.46846847    0.05240346
    8.51851852    0.05161536
    8.56856857    0.05165316
    8.61861862    0.05232202
    8.66866867    0.05338438
    8.71871872    0.05463075
    8.76876877    0.05596667
    8.81881882    0.05741635
    8.86886887    0.05905675
    8.91891892    0.06098435
    8.96896897    0.06329645
    9.01901902    0.06597826
    9.06906907    0.06876097
    9.11911912    0.07117895
    9.16916917    0.07287317
    9.21921922    0.07375277
    9.26926927    0.07379738
    9.31931932    0.07295781
    9.36936937    0.07130364
    9.41941942    0.06914089
    9.46946947    0.06696682
    9.51951952    0.06527306
    9.56956957    0.06438715
    9.61961962    0.06441458
    9.66966967    0.06522167
    9.71971972    0.06647152
    9.76976977    0.06775706
    9.81981982    0.06880326
    9.86986987    0.06960031
    9.91991992    0.07035530
    9.96996997    0.07132862
   10.02002002    0.07268391
   10.07007007    0.07439398
   10.12012012    0.07620725
   10.17017017    0.07773501
   10.22022022    0.07867637
   10.27027027    0.07897808
   10.32032032    0.07878590
   10.37037037    0.07834199
   10.42042042    0.07789685
   10.47047047    0.07757160
   10.52052052    0.07729511
   10.57057057    0.07696693
   10.62062062    0.07669655
   10.67067067    0.07681665
   10.72072072    0.07760915
   10.77077077    0.07904091
   10.82082082    0.08081088
   10.87087087    0.08257187
   10.92092092    0.08408761
   10.97097097    0.08534445
   11.02102102    0.08648303
   11.07107107    0.08755556
   11.12112112    0.08841498
   11.17117117    0.08883662
   11.22122122    0.08872448
   11.27127127    0.08818205
   11.32132132    0.08742247
   11.37137137    0.08669920
   11.42142142    0.08626677
   11.47147147    0.08631181
   11.52152152    0.08688465
   11.57157157    0.08786929
   11.62162162    0.08905144
   11.67167167    0.09028245
   11.72172172    0.09159360
   11.77177177    0.09312838
   11.82182182    0.09495557
   11.87187187    0.09695119
   11.92192192    0.09886635
   11.97197197    0.10048545
   12.02202202    0.10167123
   12.07207207    0.10234935
   12.12212212    0.10258485
   12.17217217    0.10259931
   12.22222222    0.10259797
   12.27227227    0.10259259
   12.32232232    0.10246307
   12.37237237    0.10217362
   12.42242242    0.10179134
   12.47247247    0.10129931
   12.52252252    0.10056973
   12.57257257    0.09954466
   12.62262262    0.09829488
   12.67267267    0.09691641
   12.72272272    0.09550639
   12.77277277    0.09422372
   12.82282282    0.09327471
   12.87287287    0.09279352
   12.92292292    0.09272117
   12.97297297    0.09277545
   13.02302302    0.09253746
   13.07307307    0.09162451
   13.12312312    0.08986700
   13.17317317    0.08738862
   13.22322322    0.08454605
   13.27327327    0.08176935
   13.32332332    0.07939188
   13.37337337    0.07756111
   13.42342342    0.07626563
   13.47347347    0.07542913
   13.52352352    0.07499249
   13.57357357    0.07492565
   13.62362362    0.07516170
   13.67367367    0.07551669
   13.72372372    0.07569632
   13.77377377    0.07544117
   13.82382382    0.07470927
   13.87387387    0.07370415
   13.92392392    0.07272866
   13.97397397    0.07202846
   14.02402402    0.07173254
   14.07407407    0.07187265
   14.12412412    0.07241529
   14.17417417    0.07327865
   14.22422422    0.07435292
   14.27427427    0.07551845
   14.32432432    0.07663870
   14.37437437    0.07754921
   14.42442442    0.07808805
   14.47447447    0.07816318
   14.52452452    0.07778923
   14.57457457    0.07705715
   14.62462462    0.07608899
   14.67467467    0.07502473
   14.72472472    0.07401812
   14.77477477    0.07321263
   14.82482482    0.07271261
   14.87487487    0.07258535
   14.92492492    0.07290909
   14.97497497    0.07378086
   15.02502503    0.07522051
   15.07507508    0.07709453
   15.12512513    0.07914737
   15.17517518    0.08108362
   15.22522523    0.08262600
   15.27527528    0.08355090
   15.32532533    0.08375888
   15.37537538    0.08333510
   15.42542543    0.08249346
   15.47547548    0.08148332
   15.52552553    0.08055673
   15.57557558    0.07995679
   15.62562563    0.07989794
   15.67567568    0.08053258
   15.72572573    0.08190014
   15.77577578    0.08388499
   15.82582583    0.08621448
   15.87587588    0.08851859
   15.92592593    0.09044198
   15.97597598    0.09174173
   16.02602603    0.09230901
   16.07607608    0.09214971
   16.12612613    0.09137336
   16.17617618    0.09015852
   16.22622623    0.08868127
   16.27627628    0.08706037
   16.32632633    0.08534737
   16.37637638    0.08354312
   16.42642643    0.08162207
   16.47647648    0.07956116
   16.52652653    0.07737129
   16.57657658    0.07511868
   16.62662663    0.07291648
   16.67667668    0.07088559
   16.72672673    0.06911231
   16.77677678    0.06763051
   16.82682683    0.06642769
   16.87687688    0.06545917
   16.92692693    0.06466310
   16.97697698    0.06397373
   17.02702703    0.06332821
   17.07707708    0.06267083
   17.12712713    0.06196452
   17.17717718    0.06121073
   17.22722723    0.06046412
   17.27727728    0.05982444
   17.32732733    0.05940435
   17.37737738    0.05929289
   17.42742743    0.05953349
   17.47747748    0.06012117
   17.52752753    0.06101554
   17.57757758    0.06216413
   17.62762763    0.06351928
   17.67767768    0.06502637
   17.72772773    0.06659079
   17.77777778    0.06806898
   17.82782783    0.06931580
   17.87787788    0.07026213
   17.92792793    0.07096218
   17.97797798    0.07157981
   18.02802803    0.07233119
   18.07807808    0.07341958
   18.12812813    0.07498640
   18.17817818    0.07708356
   18.22822823    0.07965557
   18.27827828    0.08252277
   18.32832833    0.08538296
   18.37837838    0.08786344
   18.42842843    0.08960678
   18.47847848    0.09034873
   18.52852853    0.09001176
   18.57857858    0.08879690
   18.62862863    0.08712937
   18.67867868    0.08544567
   18.72872873    0.08402978
   18.77877878    0.08299380
   18.82882883    0.08233022
   18.87887888    0.08196536
   18.92892893    0.08179817
   18.97897898    0.08173117
   19.02902903    0.08169093
   19.07907908    0.08162233
   19.12912913    0.08144759
   19.17917918    0.08100971
   19.22922923    0.08006158
   19.27927928    0.07836915
   19.32932933    0.07589917
   19.37937938    0.07291772
   19.42942943    0.06987073
   19.47947948    0.06716659
   19.52952953    0.06504867
   19.57957958    0.06358718
   19.62962963    0.06272525
   19.67967968    0.06233208
   19.72972973    0.06225172
   19.77977978    0.06234664
   19.82982983    0.06253066
   19.87987988    0.06278010
   19.92992993    0.06311580
   19.97997998    0.06356419
   20.03003003    0.06412088
   20.08008008    0.06473571
   20.13013013    0.06532043
   20.18018018    0.06577352
   20.23023023    0.06601702
   20.28028028    0.06603072
