# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00037262
   -9.94994995    0.00037466
   -9.89989990    0.00037672
   -9.84984985    0.00037880
   -9.79979980    0.00038091
   -9.74974975    0.00038304
   -9.69969970    0.00038520
   -9.64964965    0.00038738
   -9.59959960    0.00038959
   -9.54954955    0.00039182
   -9.49949950    0.00039408
   -9.44944945    0.00039637
   -9.39939940    0.00039869
   -9.34934935    0.00040104
   -9.29929930    0.00040341
   -9.24924925    0.00040582
   -9.19919920    0.00040825
   -9.14914915    0.00041072
   -9.09909910    0.00041322
   -9.04904905    0.00041575
   -8.99899900    0.00041831
   -8.94894895    0.00042090
   -8.89889890    0.00042353
   -8.84884885    0.00042619
   -8.79879880    0.00042889
   -8.74874875    0.00043162
   -8.69869870    0.00043439
   -8.64864865    0.00043720
   -8.59859860    0.00044004
   -8.54854855    0.00044293
   -8.49849850    0.00044585
   -8.44844845    0.00044881
   -8.39839840    0.00045181
   -8.34834835    0.00045486
   -8.29829830    0.00045795
   -8.24824825    0.00046108
   -8.19819820    0.00046425
   -8.14814815    0.00046747
   -8.09809810    0.00047074
   -8.04804805    0.00047405
   -7.99799800    0.00047742
   -7.94794795    0.00048083
   -7.89789790    0.00048429
   -7.84784785    0.00048780
   -7.79779780    0.00049137
   -7.74774775    0.00049498
   -7.69769770    0.00049866
   -7.64764765    0.00050239
   -7.59759760    0.00050617
   -7.54754755    0.00051002
   -7.49749750    0.00051393
   -7.44744745    0.00051789
   -7.39739740    0.00052192
   -7.34734735    0.00052601
   -7.29729730    0.00053017
   -7.24724725    0.00053440
   -7.19719720    0.00053869
   -7.14714715    0.00054305
   -7.09709710    0.00054749
   -7.04704705    0.00055200
   -6.99699700    0.00055659
   -6.94694695    0.00056125
   -6.89689690    0.00056599
   -6.84684685    0.00057081
   -6.79679680    0.00057572
   -6.74674675    0.00058071
   -6.69669670    0.00058578
   -6.64664665    0.00059095
   -6.59659660    0.00059621
   -6.54654655    0.00060156
   -6.49649650    0.00060701
   -6.44644645    0.00061256
   -6.39639640    0.00061821
   -6.34634635    0.00062397
   -6.29629630    0.00062983
   -6.24624625    0.00063580
   -6.19619620    0.00064189
   -6.14614615    0.00064809
   -6.09609610    0.00065441
   -6.04604605    0.00066086
   -5.99599600    0.00066743
