# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00037110
   -9.94994995    0.00037311
   -9.89989990    0.00037514
   -9.84984985    0.00037720
   -9.79979980    0.00037928
   -9.74974975    0.00038139
   -9.69969970    0.00038352
   -9.64964965    0.00038567
   -9.59959960    0.00038785
   -9.54954955    0.00039006
   -9.49949950    0.00039230
   -9.44944945    0.00039456
   -9.39939940    0.00039685
   -9.34934935    0.00039916
   -9.29929930    0.00040151
   -9.24924925    0.00040388
   -9.19919920    0.00040629
   -9.14914915    0.00040872
   -9.09909910    0.00041118
   -9.04904905    0.00041368
   -8.99899900    0.00041621
   -8.94894895    0.00041877
   -8.89889890    0.00042136
   -8.84884885    0.00042399
   -8.79879880    0.00042665
   -8.74874875    0.00042934
   -8.69869870    0.00043208
   -8.64864865    0.00043484
   -8.59859860    0.00043765
   -8.54854855    0.00044049
   -8.49849850    0.00044337
   -8.44844845    0.00044630
   -8.39839840    0.00044926
   -8.34834835    0.00045226
   -8.29829830    0.00045530
   -8.24824825    0.00045839
   -8.19819820    0.00046152
   -8.14814815    0.00046469
   -8.09809810    0.00046791
   -8.04804805    0.00047118
   -7.99799800    0.00047449
   -7.94794795    0.00047785
   -7.89789790    0.00048126
   -7.84784785    0.00048472
   -7.79779780    0.00048823
   -7.74774775    0.00049180
   -7.69769770    0.00049542
   -7.64764765    0.00049909
   -7.59759760    0.00050282
   -7.54754755    0.00050660
   -7.49749750    0.00051045
   -7.44744745    0.00051435
   -7.39739740    0.00051832
   -7.34734735    0.00052235
   -7.29729730    0.00052644
   -7.24724725    0.00053060
   -7.19719720    0.00053482
   -7.14714715    0.00053912
   -7.09709710    0.00054348
   -7.04704705    0.00054792
   -6.99699700    0.00055243
   -6.94694695    0.00055702
   -6.89689690    0.00056168
   -6.84684685    0.00056642
   -6.79679680    0.00057125
   -6.74674675    0.00057615
   -6.69669670    0.00058114
   -6.64664665    0.00058623
