# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00034872
   -9.94994995    0.00035042
   -9.89989990    0.00035215
   -9.84984985    0.00035389
   -9.79979980    0.00035565
   -9.74974975    0.00035743
   -9.69969970    0.00035923
   -9.64964965    0.00036105
   -9.59959960    0.00036289
   -9.54954955    0.00036475
   -9.49949950    0.00036663
   -9.44944945    0.00036853
   -9.39939940    0.00037046
   -9.34934935    0.00037240
   -9.29929930    0.00037437
   -9.24924925    0.00037636
   -9.19919920    0.00037837
   -9.14914915    0.00038041
   -9.09909910    0.00038246
   -9.04904905    0.00038455
   -8.99899900    0.00038666
   -8.94894895    0.00038879
   -8.89889890    0.00039095
   -8.84884885    0.00039313
   -8.79879880    0.00039535
   -8.74874875    0.00039758
   -8.69869870    0.00039985
   -8.64864865    0.00040214
   -8.59859860    0.00040446
   -8.54854855    0.00040682
   -8.49849850    0.00040920
   -8.44844845    0.00041161
   -8.39839840    0.00041405
   -8.34834835    0.00041652
   -8.29829830    0.00041902
   -8.24824825    0.00042156
   -8.19819820    0.00042413
   -8.14814815    0.00042673
   -8.09809810    0.00042937
   -8.04804805    0.00043205
   -7.99799800    0.00043476
   -7.94794795    0.00043750
   -7.89789790    0.00044028
   -7.84784785    0.00044311
   -7.79779780    0.00044597
   -7.74774775    0.00044887
   -7.69769770    0.00045181
   -7.64764765    0.00045479
   -7.59759760    0.00045781
   -7.54754755    0.00046088
   -7.49749750    0.00046399
   -7.44744745    0.00046715
   -7.39739740    0.00047035
   -7.34734735    0.00047360
   -7.29729730    0.00047689
   -7.24724725    0.00048024
   -7.19719720    0.00048364
   -7.14714715    0.00048709
   -7.09709710    0.00049059
   -7.04704705    0.00049414
   -6.99699700    0.00049775
   -6.94694695    0.00050142
   -6.89689690    0.00050514
   -6.84684685    0.00050892
   -6.79679680    0.00051277
   -6.74674675    0.00051667
   -6.69669670    0.00052064
   -6.64664665    0.00052467
   -6.59659660    0.00052877
   -6.54654655    0.00053294
   -6.49649650    0.00053718
   -6.44644645    0.00054149
   -6.39639640    0.00054587
   -6.34634635    0.00055033
   -6.29629630    0.00055487
   -6.24624625    0.00055948
   -6.19619620    0.00056418
   -6.14614615    0.00056896
   -6.09609610    0.00057382
   -6.04604605    0.00057878
   -5.99599600    0.00058382
   -5.94594595    0.00058896
   -5.89589590    0.00059419
   -5.84584585    0.00059952
