# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00029847
   -9.94994995    0.00029950
   -9.89989990    0.00030053
   -9.84984985    0.00030157
   -9.79979980    0.00030262
   -9.74974975    0.00030367
   -9.69969970    0.00030473
   -9.64964965    0.00030580
   -9.59959960    0.00030688
   -9.54954955    0.00030797
   -9.49949950    0.00030906
   -9.44944945    0.00031016
   -9.39939940    0.00031127
   -9.34934935    0.00031238
   -9.29929930    0.00031351
   -9.24924925    0.00031464
   -9.19919920    0.00031578
   -9.14914915    0.00031693
   -9.09909910    0.00031809
   -9.04904905    0.00031925
   -8.99899900    0.00032042
   -8.94894895    0.00032161
   -8.89889890    0.00032280
   -8.84884885    0.00032400
   -8.79879880    0.00032521
   -8.74874875    0.00032643
   -8.69869870    0.00032765
   -8.64864865    0.00032889
   -8.59859860    0.00033014
   -8.54854855    0.00033139
   -8.49849850    0.00033266
   -8.44844845    0.00033393
   -8.39839840    0.00033522
   -8.34834835    0.00033651
   -8.29829830    0.00033781
   -8.24824825    0.00033913
   -8.19819820    0.00034045
   -8.14814815    0.00034179
   -8.09809810    0.00034313
   -8.04804805    0.00034449
   -7.99799800    0.00034586
   -7.94794795    0.00034723
   -7.89789790    0.00034862
   -7.84784785    0.00035002
   -7.79779780    0.00035143
   -7.74774775    0.00035285
   -7.69769770    0.00035429
   -7.64764765    0.00035573
   -7.59759760    0.00035719
   -7.54754755    0.00035866
   -7.49749750    0.00036014
   -7.44744745    0.00036163
   -7.39739740    0.00036314
   -7.34734735    0.00036465
   -7.29729730    0.00036618
   -7.24724725    0.00036773
   -7.19719720    0.00036928
   -7.14714715    0.00037085
   -7.09709710    0.00037243
   -7.04704705    0.00037403
   -6.99699700    0.00037564
   -6.94694695    0.00037726
   -6.89689690    0.00037890
   -6.84684685    0.00038055
   -6.79679680    0.00038222
   -6.74674675    0.00038390
   -6.69669670    0.00038559
   -6.64664665    0.00038730
   -6.59659660    0.00038903
   -6.54654655    0.00039077
   -6.49649650    0.00039252
   -6.44644645    0.00039429
   -6.39639640    0.00039608
   -6.34634635    0.00039788
   -6.29629630    0.00039970
   -6.24624625    0.00040154
   -6.19619620    0.00040339
   -6.14614615    0.00040526
   -6.09609610    0.00040714
   -6.04604605    0.00040905
   -5.99599600    0.00041097
   -5.94594595    0.00041291
   -5.89589590    0.00041487
   -5.84584585    0.00041684
   -5.79579580    0.00041884
   -5.74574575    0.00042085
   -5.69569570    0.00042288
   -5.64564565    0.00042493
   -5.59559560    0.00042701
   -5.54554555    0.00042910
   -5.49549550    0.00043121
   -5.44544545    0.00043334
   -5.39539540    0.00043550
   -5.34534535    0.00043767
   -5.29529530    0.00043987
   -5.24524525    0.00044209
   -5.19519520    0.00044433
   -5.14514515    0.00044659
   -5.09509510    0.00044887
   -5.04504505    0.00045118
   -4.99499499    0.00045351
   -4.94494494    0.00045587
   -4.89489489    0.00045825
   -4.84484484    0.00046066
   -4.79479479    0.00046309
   -4.74474474    0.00046554
   -4.69469469    0.00046802
   -4.64464464    0.00047053
   -4.59459459    0.00047306
   -4.54454454    0.00047562
   -4.49449449    0.00047821
   -4.44444444    0.00048083
   -4.39439439    0.00048347
   -4.34434434    0.00048614
   -4.29429429    0.00048885
   -4.24424424    0.00049158
   -4.19419419    0.00049434
   -4.14414414    0.00049713
   -4.09409409    0.00049996
   -4.04404404    0.00050281
   -3.99399399    0.00050570
   -3.94394394    0.00050862
   -3.89389389    0.00051158
   -3.84384384    0.00051457
   -3.79379379    0.00051759
   -3.74374374    0.00052065
   -3.69369369    0.00052374
   -3.64364364    0.00052687
   -3.59359359    0.00053004
   -3.54354354    0.00053325
   -3.49349349    0.00053649
   -3.44344344    0.00053978
   -3.39339339    0.00054310
   -3.34334334    0.00054647
   -3.29329329    0.00054988
   -3.24324324    0.00055333
   -3.19319319    0.00055682
   -3.14314314    0.00056036
   -3.09309309    0.00056394
   -3.04304304    0.00056757
   -2.99299299    0.00057124
   -2.94294294    0.00057496
   -2.89289289    0.00057873
   -2.84284284    0.00058256
   -2.79279279    0.00058643
   -2.74274274    0.00059035
   -2.69269269    0.00059433
   -2.64264264    0.00059836
   -2.59259259    0.00060245
   -2.54254254    0.00060660
   -2.49249249    0.00061080
   -2.44244244    0.00061507
   -2.39239239    0.00061939
   -2.34234234    0.00062378
   -2.29229229    0.00062823
   -2.24224224    0.00063275
   -2.19219219    0.00063734
   -2.14214214    0.00064199
   -2.09209209    0.00064672
   -2.04204204    0.00065152
   -1.99199199    0.00065640
   -1.94194194    0.00066136
   -1.89189189    0.00066639
   -1.84184184    0.00067151
   -1.79179179    0.00067672
   -1.74174174    0.00068202
   -1.69169169    0.00068741
   -1.64164164    0.00069289
   -1.59159159    0.00069847
   -1.54154154    0.00070416
   -1.49149149    0.00070996
   -1.44144144    0.00071587
   -1.39139139    0.00072190
   -1.34134134    0.00072805
   -1.29129129    0.00073434
   -1.24124124    0.00074076
   -1.19119119    0.00074734
   -1.14114114    0.00075407
   -1.09109109    0.00076097
   -1.04104104    0.00076805
   -0.99099099    0.00077532
   -0.94094094    0.00078281
   -0.89089089    0.00079054
   -0.84084084    0.00079853
   -0.79079079    0.00080681
   -0.74074074    0.00081541
   -0.69069069    0.00082440
   -0.64064064    0.00083382
   -0.59059059    0.00084375
   -0.54054054    0.00085429
   -0.49049049    0.00086557
   -0.44044044    0.00087777
   -0.39039039    0.00089113
   -0.34034034    0.00090597
   -0.29029029    0.00092276
   -0.24024024    0.00094213
   -0.19019019    0.00096492
   -0.14014014    0.00099214
   -0.09009009    0.00102420
   -0.04004004    0.00106222
    0.01001001    0.00110381
    0.06006006    0.00114147
    0.11011011    0.00116886
    0.16016016    0.00118863
    0.21021021    0.00120082
    0.26026026    0.00120960
    0.31031031    0.00121886
    0.36036036    0.00123122
    0.41041041    0.00124813
    0.46046046    0.00127033
    0.51051051    0.00129805
    0.56056056    0.00133105
    0.61061061    0.00136852
    0.66066066    0.00140890
    0.71071071    0.00144990
    0.76076076    0.00148847
    0.81081081    0.00152091
    0.86086086    0.00154381
    0.91091091    0.00155586
    0.96096096    0.00155859
    1.01101101    0.00155523
    1.06106106    0.00154928
    1.11111111    0.00154383
    1.16116116    0.00154125
    1.21121121    0.00154294
    1.26126126    0.00154932
    1.31131131    0.00156005
    1.36136136    0.00157454
    1.41141141    0.00159223
    1.46146146    0.00161277
    1.51151151    0.00163595
    1.56156156    0.00166142
    1.61161161    0.00168842
    1.66166166    0.00171571
    1.71171171    0.00174193
    1.76176176    0.00176615
    1.81181181    0.00178838
    1.86186186    0.00180950
    1.91191191    0.00183075
    1.96196196    0.00185322
    2.01201201    0.00187772
    2.06206206    0.00190474
    2.11211211    0.00193444
    2.16216216    0.00196674
    2.21221221    0.00200120
    2.26226226    0.00203704
    2.31231231    0.00207350
    2.36236236    0.00211060
    2.41241241    0.00214917
    2.46246246    0.00218975
    2.51251251    0.00223183
    2.56256256    0.00227425
    2.61261261    0.00231615
    2.66266266    0.00235732
    2.71271271    0.00239785
    2.76276276    0.00243816
    2.81281281    0.00247892
    2.86286286    0.00252037
    2.91291291    0.00256183
    2.96296296    0.00260223
    3.01301301    0.00264081
    3.06306306    0.00267769
    3.11311311    0.00271417
    3.16316316    0.00275222
    3.21321321    0.00279357
    3.26326326    0.00283932
    3.31331331    0.00289045
    3.36336336    0.00294823
    3.41341341    0.00301432
    3.46346346    0.00309014
    3.51351351    0.00317618
    3.56356356    0.00327141
    3.61361361    0.00337328
    3.66366366    0.00347815
    3.71371371    0.00358201
    3.76376376    0.00368134
    3.81381381    0.00377435
    3.86386386    0.00386231
    3.91391391    0.00394921
    3.96396396    0.00403929
    4.01401401    0.00413456
    4.06406406    0.00423437
    4.11411411    0.00433678
    4.16416416    0.00444071
    4.21421421    0.00454690
    4.26426426    0.00465739
    4.31431431    0.00477423
    4.36436436    0.00489874
    4.41441441    0.00503160
    4.46446446    0.00517281
    4.51451451    0.00532159
    4.56456456    0.00547726
    4.61461461    0.00564051
    4.66466466    0.00581356
    4.71471471    0.00599896
    4.76476476    0.00619845
    4.81481481    0.00641265
    4.86486486    0.00664134
    4.91491491    0.00688364
    4.96496496    0.00713819
    5.01501502    0.00740402
    5.06506507    0.00768187
    5.11511512    0.00797489
    5.16516517    0.00828826
    5.21521522    0.00862877
    5.26526527    0.00900380
    5.31531532    0.00941885
    5.36536537    0.00987544
    5.41541542    0.01037210
    5.46546547    0.01090773
    5.51551552    0.01148409
    5.56556557    0.01210656
    5.61561562    0.01278415
    5.66566567    0.01352822
    5.71571572    0.01434917
    5.76576577    0.01525360
    5.81581582    0.01624513
