# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00035948
   -9.94994995    0.00036138
   -9.89989990    0.00036330
   -9.84984985    0.00036524
   -9.79979980    0.00036721
   -9.74974975    0.00036920
   -9.69969970    0.00037121
   -9.64964965    0.00037325
   -9.59959960    0.00037531
   -9.54954955    0.00037739
   -9.49949950    0.00037950
   -9.44944945    0.00038164
   -9.39939940    0.00038379
   -9.34934935    0.00038598
   -9.29929930    0.00038819
   -9.24924925    0.00039043
   -9.19919920    0.00039270
   -9.14914915    0.00039499
   -9.09909910    0.00039731
   -9.04904905    0.00039966
   -8.99899900    0.00040205
   -8.94894895    0.00040446
   -8.89889890    0.00040690
   -8.84884885    0.00040937
   -8.79879880    0.00041187
   -8.74874875    0.00041441
   -8.69869870    0.00041698
   -8.64864865    0.00041958
   -8.59859860    0.00042222
   -8.54854855    0.00042489
   -8.49849850    0.00042760
   -8.44844845    0.00043035
   -8.39839840    0.00043313
   -8.34834835    0.00043595
   -8.29829830    0.00043881
   -8.24824825    0.00044170
   -8.19819820    0.00044464
   -8.14814815    0.00044762
   -8.09809810    0.00045064
   -8.04804805    0.00045370
   -7.99799800    0.00045680
   -7.94794795    0.00045995
   -7.89789790    0.00046315
   -7.84784785    0.00046639
   -7.79779780    0.00046968
   -7.74774775    0.00047302
   -7.69769770    0.00047640
   -7.64764765    0.00047984
   -7.59759760    0.00048333
   -7.54754755    0.00048687
   -7.49749750    0.00049046
   -7.44744745    0.00049411
   -7.39739740    0.00049782
   -7.34734735    0.00050158
   -7.29729730    0.00050540
   -7.24724725    0.00050928
   -7.19719720    0.00051323
   -7.14714715    0.00051723
   -7.09709710    0.00052130
   -7.04704705    0.00052544
   -6.99699700    0.00052964
   -6.94694695    0.00053392
   -6.89689690    0.00053826
   -6.84684685    0.00054268
   -6.79679680    0.00054717
   -6.74674675    0.00055173
   -6.69669670    0.00055638
   -6.64664665    0.00056110
   -6.59659660    0.00056590
   -6.54654655    0.00057079
   -6.49649650    0.00057577
   -6.44644645    0.00058083
   -6.39639640    0.00058599
   -6.34634635    0.00059123
   -6.29629630    0.00059658
   -6.24624625    0.00060202
   -6.19619620    0.00060756
   -6.14614615    0.00061320
   -6.09609610    0.00061895
   -6.04604605    0.00062481
   -5.99599600    0.00063078
   -5.94594595    0.00063686
   -5.89589590    0.00064306
   -5.84584585    0.00064939
   -5.79579580    0.00065584
   -5.74574575    0.00066241
   -5.69569570    0.00066912
   -5.64564565    0.00067597
   -5.59559560    0.00068295
   -5.54554555    0.00069008
   -5.49549550    0.00069736
   -5.44544545    0.00070479
   -5.39539540    0.00071238
   -5.34534535    0.00072014
   -5.29529530    0.00072806
   -5.24524525    0.00073615
   -5.19519520    0.00074442
   -5.14514515    0.00075287
   -5.09509510    0.00076152
   -5.04504505    0.00077036
   -4.99499499    0.00077940
   -4.94494494    0.00078866
   -4.89489489    0.00079812
   -4.84484484    0.00080782
   -4.79479479    0.00081774
   -4.74474474    0.00082791
   -4.69469469    0.00083832
   -4.64464464    0.00084899
   -4.59459459    0.00085992
   -4.54454454    0.00087113
   -4.49449449    0.00088262
   -4.44444444    0.00089441
   -4.39439439    0.00090651
   -4.34434434    0.00091893
   -4.29429429    0.00093167
   -4.24424424    0.00094476
   -4.19419419    0.00095821
   -4.14414414    0.00097202
   -4.09409409    0.00098622
   -4.04404404    0.00100083
   -3.99399399    0.00101585
   -3.94394394    0.00103130
   -3.89389389    0.00104721
   -3.84384384    0.00106359
   -3.79379379    0.00108046
   -3.74374374    0.00109785
   -3.69369369    0.00111577
   -3.64364364    0.00113425
   -3.59359359    0.00115332
   -3.54354354    0.00117300
   -3.49349349    0.00119332
   -3.44344344    0.00121432
   -3.39339339    0.00123601
   -3.34334334    0.00125845
   -3.29329329    0.00128165
   -3.24324324    0.00130567
   -3.19319319    0.00133054
   -3.14314314    0.00135631
   -3.09309309    0.00138303
   -3.04304304    0.00141073
   -2.99299299    0.00143949
   -2.94294294    0.00146935
   -2.89289289    0.00150037
   -2.84284284    0.00153263
   -2.79279279    0.00156619
   -2.74274274    0.00160113
   -2.69269269    0.00163753
   -2.64264264    0.00167548
   -2.59259259    0.00171508
   -2.54254254    0.00175643
   -2.49249249    0.00179964
   -2.44244244    0.00184483
   -2.39239239    0.00189214
   -2.34234234    0.00194170
   -2.29229229    0.00199368
   -2.24224224    0.00204825
   -2.19219219    0.00210559
   -2.14214214    0.00216591
   -2.09209209    0.00222943
   -2.04204204    0.00229641
   -1.99199199    0.00236711
   -1.94194194    0.00244183
   -1.89189189    0.00252092
   -1.84184184    0.00260474
   -1.79179179    0.00269371
   -1.74174174    0.00278828
   -1.69169169    0.00288898
   -1.64164164    0.00299639
   -1.59159159    0.00311115
   -1.54154154    0.00323402
   -1.49149149    0.00336583
   -1.44144144    0.00350753
   -1.39139139    0.00366023
   -1.34134134    0.00382517
   -1.29129129    0.00400381
   -1.24124124    0.00419783
   -1.19119119    0.00440919
   -1.14114114    0.00464018
   -1.09109109    0.00489353
   -1.04104104    0.00517244
   -0.99099099    0.00548075
   -0.94094094    0.00582311
   -0.89089089    0.00620514
   -0.84084084    0.00663372
   -0.79079079    0.00711739
   -0.74074074    0.00766678
   -0.69069069    0.00829538
   -0.64064064    0.00902040
   -0.59059059    0.00986418
   -0.54054054    0.01085607
   -0.49049049    0.01203520
   -0.44044044    0.01345456
   -0.39039039    0.01518680
   -0.34034034    0.01733273
   -0.29029029    0.02003270
   -0.24024024    0.02347969
   -0.19019019    0.02792652
   -0.14014014    0.03366123
   -0.09009009    0.04076977
   -0.04004004    0.04934625
    0.01001001    0.05872785
    0.06006006    0.06694273
    0.11011011    0.07231437
    0.16016016    0.07568319
    0.21021021    0.07720198
    0.26026026    0.07792884
    0.31031031    0.07890496
    0.36036036    0.08085885
    0.41041041    0.08411390
    0.46046046    0.08863378
    0.51051051    0.09416871
    0.56056056    0.10044024
    0.61061061    0.10721045
    0.66066066    0.11411809
    0.71071071    0.12034933
    0.76076076    0.12447145
    0.81081081    0.12490322
    0.86086086    0.12100594
    0.91091091    0.11373905
    0.96096096    0.10495120
    1.01101101    0.09616467
    1.06106106    0.08817276
    1.11111111    0.08133081
    1.16116116    0.07583069
    1.21121121    0.07173908
    1.26126126    0.06893842
    1.31131131    0.06714140
    1.36136136    0.06602345
    1.41141141    0.06535545
    1.46146146    0.06497916
    1.51151151    0.06466701
    1.56156156    0.06408576
    1.61161161    0.06294895
    1.66166166    0.06119149
    1.71171171    0.05898505
    1.76176176    0.05663070
    1.81181181    0.05444514
    1.86186186    0.05268965
    1.91191191    0.05154739
    1.96196196    0.05111669
    2.01201201    0.05139611
    2.06206206    0.05227356
    2.11211211    0.05354033
    2.16216216    0.05491835
    2.21221221    0.05608890
    2.26226226    0.05676115
    2.31231231    0.05682275
    2.36236236    0.05646137
    2.41241241    0.05604457
    2.46246246    0.05584596
    2.51251251    0.05590116
    2.56256256    0.05605548
    2.61261261    0.05610272
    2.66266266    0.05589742
    2.71271271    0.05538193
    2.76276276    0.05461070
    2.81281281    0.05379646
    2.86286286    0.05319846
    2.91291291    0.05289400
    2.96296296    0.05274297
    3.01301301    0.05258591
    3.06306306    0.05238847
    3.11311311    0.05219358
    3.16316316    0.05203587
    3.21321321    0.05194258
    3.26326326    0.05198997
    3.31331331    0.05230183
    3.36336336    0.05299168
    3.41341341    0.05411570
    3.46346346    0.05562297
    3.51351351    0.05730544
    3.56356356    0.05879483
    3.61361361    0.05965593
    3.66366366    0.05957614
    3.71371371    0.05852864
    3.76376376    0.05675152
    3.81381381    0.05457233
    3.86386386    0.05225708
    3.91391391    0.04997359
    3.96396396    0.04782887
    4.01401401    0.04589905
    4.06406406    0.04422404
    4.11411411    0.04280713
    4.16416416    0.04165373
    4.21421421    0.04081891
    4.26426426    0.04040701
    4.31431431    0.04052720
    4.36436436    0.04124441
    4.41441441    0.04253418
    4.46446446    0.04423603
    4.51451451    0.04602784
    4.56456456    0.04749323
    4.61461461    0.04830956
    4.66466466    0.04840884
    4.71471471    0.04795295
    4.76476476    0.04718947
    4.81481481    0.04632488
    4.86486486    0.04545652
    4.91491491    0.04457126
    4.96496496    0.04360272
    5.01501502    0.04250681
    5.06506507    0.04129576
    5.11511512    0.04003042
    5.16516517    0.03882522
    5.21521522    0.03783639
    5.26526527    0.03719697
    5.31531532    0.03695558
    5.36536537    0.03707093
    5.41541542    0.03746509
    5.46546547    0.03807799
    5.51551552    0.03884467
    5.56556557    0.03962485
    5.61561562    0.04020199
    5.66566567    0.04037909
    5.71571572    0.04008430
    5.76576577    0.03939938
    5.81581582    0.03851275
    5.86586587    0.03765595
    5.91591592    0.03704400
    5.96596597    0.03681379
    6.01601602    0.03698209
    6.06606607    0.03745350
    6.11611612    0.03807746
