# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.03441440
    1.36136136    0.03561522
    1.41141141    0.03686290
    1.46146146    0.03815284
    1.51151151    0.03947945
    1.56156156    0.04083612
    1.61161161    0.04221533
    1.66166166    0.04360868
    1.71171171    0.04500702
    1.76176176    0.04640065
    1.81181181    0.04777963
    1.86186186    0.04913418
    1.91191191    0.05045520
    1.96196196    0.05173489
    2.01201201    0.05296725
    2.06206206    0.05414853
    2.11211211    0.05527751
    2.16216216    0.05635544
    2.21221221    0.05738576
    2.26226226    0.05837360
    2.31231231    0.05932505
    2.36236236    0.06024646
    2.41241241    0.06114370
    2.46246246    0.06202161
    2.51251251    0.06288366
    2.56256256    0.06373181
    2.61261261    0.06456659
    2.66266266    0.06538741
    2.71271271    0.06619292
    2.76276276    0.06698149
    2.81281281    0.06775163
    2.86286286    0.06850232
    2.91291291    0.06923329
    2.96296296    0.06994502
    3.01301301    0.07063870
    3.06306306    0.07131599
    3.11311311    0.07197870
    3.16316316    0.07262847
    3.21321321    0.07326637
    3.26326326    0.07389274
    3.31331331    0.07450696
    3.36336336    0.07510754
    3.41341341    0.07569225
    3.46346346    0.07625841
    3.51351351    0.07680325
    3.56356356    0.07732438
    3.61361361    0.07782014
    3.66366366    0.07828995
    3.71371371    0.07873460
    3.76376376    0.07915633
    3.81381381    0.07955877
    3.86386386    0.07994686
    3.91391391    0.08032643
    3.96396396    0.08070390
    4.01401401    0.08108574
    4.06406406    0.08147795
    4.11411411    0.08188562
    4.16416416    0.08231247
    4.21421421    0.08276055
    4.26426426    0.08323012
    4.31431431    0.08371964
    4.36436436    0.08422599
    4.41441441    0.08474482
    4.46446446    0.08527103
    4.51451451    0.08579928
    4.56456456    0.08632451
    4.61461461    0.08684248
    4.66466466    0.08735010
    4.71471471    0.08784570
    4.76476476    0.08832912
    4.81481481    0.08880159
    4.86486486    0.08926542
    4.91491491    0.08972353
    4.96496496    0.09017886
    5.01501502    0.09063369
    5.06506507    0.09108898
    5.11511512    0.09154379
    5.16516517    0.09199488
    5.21521522    0.09243646
    5.26526527    0.09286027
    5.31531532    0.09325585
    5.36536537    0.09361101
    5.41541542    0.09391258
    5.46546547    0.09414715
    5.51551552    0.09430192
    5.56556557    0.09436547
    5.61561562    0.09432836
    5.66566567    0.09418358
    5.71571572    0.09392678
    5.76576577    0.09355619
    5.81581582    0.09307249
    5.86586587    0.09247841
    5.91591592    0.09177835
    5.96596597    0.09097796
    6.01601602    0.09008379
    6.06606607    0.08910300
    6.11611612    0.08804314
    6.16616617    0.08691210
    6.21621622    0.08571801
    6.26626627    0.08446924
    6.31631632    0.08317437
    6.36636637    0.08184215
    6.41641642    0.08048135
    6.46646647    0.07910067
    6.51651652    0.07770853
    6.56656657    0.07631285
    6.61661662    0.07492088
    6.66666667    0.07353899
    6.71671672    0.07217259
    6.76676677    0.07082606
    6.81681682    0.06950275
    6.86686687    0.06820503
    6.91691692    0.06693449
    6.96696697    0.06569204
    7.01701702    0.06447814
    7.06706707    0.06329294
    7.11711712    0.06213648
    7.16716717    0.06100880
    7.21721722    0.05990997
    7.26726727    0.05884019
    7.31731732    0.05779966
    7.36736737    0.05678865
    7.41741742    0.05580729
    7.46746747    0.05485561
    7.51751752    0.05393341
    7.56756757    0.05304022
    7.61761762    0.05217530
    7.66766767    0.05133769
    7.71771772    0.05052620
    7.76776777    0.04973955
    7.81781782    0.04897642
    7.86786787    0.04823559
    7.91791792    0.04751599
    7.96796797    0.04681678
    8.01801802    0.04613743
    8.06806807    0.04547769
    8.11811812    0.04483764
    8.16816817    0.04421764
    8.21821822    0.04361823
    8.26826827    0.04304018
    8.31831832    0.04248429
    8.36836837    0.04195144
    8.41841842    0.04144247
    8.46846847    0.04095814
    8.51851852    0.04049915
    8.56856857    0.04006606
    8.61861862    0.03965934
    8.66866867    0.03927932
    8.71871872    0.03892626
    8.76876877    0.03860029
    8.81881882    0.03830146
    8.86886887    0.03802968
    8.91891892    0.03778477
    8.96896897    0.03756637
    9.01901902    0.03737396
    9.06906907    0.03720684
    9.11911912    0.03706409
    9.16916917    0.03694454
    9.21921922    0.03684681
    9.26926927    0.03676929
    9.31931932    0.03671015
    9.36936937    0.03666739
    9.41941942    0.03663886
    9.46946947    0.03662234
    9.51951952    0.03661557
    9.56956957    0.03661633
    9.61961962    0.03662249
    9.66966967    0.03663207
    9.71971972    0.03664332
    9.76976977    0.03665470
    9.81981982    0.03666494
    9.86986987    0.03667306
    9.91991992    0.03667831
    9.96996997    0.03668021
   10.02002002    0.03667845
   10.07007007    0.03667290
   10.12012012    0.03666351
   10.17017017    0.03665025
   10.22022022    0.03663313
   10.27027027    0.03661205
   10.32032032    0.03658684
   10.37037037    0.03655723
   10.42042042    0.03652281
   10.47047047    0.03648308
   10.52052052    0.03643746
   10.57057057    0.03638533
   10.62062062    0.03632609
   10.67067067    0.03625919
   10.72072072    0.03618418
   10.77077077    0.03610078
   10.82082082    0.03600890
