# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00029748
   -9.94994995    0.00029849
   -9.89989990    0.00029952
   -9.84984985    0.00030055
   -9.79979980    0.00030159
   -9.74974975    0.00030264
   -9.69969970    0.00030369
   -9.64964965    0.00030475
   -9.59959960    0.00030582
   -9.54954955    0.00030690
   -9.49949950    0.00030798
   -9.44944945    0.00030907
   -9.39939940    0.00031017
   -9.34934935    0.00031128
   -9.29929930    0.00031240
   -9.24924925    0.00031352
   -9.19919920    0.00031465
   -9.14914915    0.00031579
   -9.09909910    0.00031694
   -9.04904905    0.00031809
   -8.99899900    0.00031926
   -8.94894895    0.00032043
   -8.89889890    0.00032161
   -8.84884885    0.00032280
   -8.79879880    0.00032400
   -8.74874875    0.00032521
   -8.69869870    0.00032643
   -8.64864865    0.00032765
   -8.59859860    0.00032889
   -8.54854855    0.00033013
   -8.49849850    0.00033139
   -8.44844845    0.00033265
   -8.39839840    0.00033393
   -8.34834835    0.00033521
   -8.29829830    0.00033650
   -8.24824825    0.00033780
   -8.19819820    0.00033912
   -8.14814815    0.00034044
   -8.09809810    0.00034177
   -8.04804805    0.00034312
   -7.99799800    0.00034447
   -7.94794795    0.00034584
   -7.89789790    0.00034721
   -7.84784785    0.00034860
   -7.79779780    0.00035000
   -7.74774775    0.00035141
   -7.69769770    0.00035283
   -7.64764765    0.00035426
   -7.59759760    0.00035570
   -7.54754755    0.00035716
   -7.49749750    0.00035862
   -7.44744745    0.00036010
   -7.39739740    0.00036159
   -7.34734735    0.00036310
   -7.29729730    0.00036461
   -7.24724725    0.00036614
   -7.19719720    0.00036768
   -7.14714715    0.00036924
   -7.09709710    0.00037080
   -7.04704705    0.00037238
   -6.99699700    0.00037398
   -6.94694695    0.00037558
   -6.89689690    0.00037721
   -6.84684685    0.00037884
   -6.79679680    0.00038049
   -6.74674675    0.00038215
   -6.69669670    0.00038383
   -6.64664665    0.00038552
   -6.59659660    0.00038723
   -6.54654655    0.00038895
   -6.49649650    0.00039069
   -6.44644645    0.00039244
   -6.39639640    0.00039421
   -6.34634635    0.00039600
   -6.29629630    0.00039780
   -6.24624625    0.00039961
   -6.19619620    0.00040144
   -6.14614615    0.00040329
   -6.09609610    0.00040516
   -6.04604605    0.00040704
   -5.99599600    0.00040895
   -5.94594595    0.00041086
   -5.89589590    0.00041280
   -5.84584585    0.00041476
   -5.79579580    0.00041673
   -5.74574575    0.00041872
   -5.69569570    0.00042073
   -5.64564565    0.00042276
   -5.59559560    0.00042481
   -5.54554555    0.00042688
   -5.49549550    0.00042897
   -5.44544545    0.00043108
   -5.39539540    0.00043321
   -5.34534535    0.00043536
   -5.29529530    0.00043753
   -5.24524525    0.00043972
   -5.19519520    0.00044194
   -5.14514515    0.00044417
   -5.09509510    0.00044643
   -5.04504505    0.00044871
   -4.99499499    0.00045102
   -4.94494494    0.00045335
   -4.89489489    0.00045570
   -4.84484484    0.00045808
   -4.79479479    0.00046048
   -4.74474474    0.00046290
   -4.69469469    0.00046536
   -4.64464464    0.00046783
   -4.59459459    0.00047034
   -4.54454454    0.00047287
   -4.49449449    0.00047542
   -4.44444444    0.00047801
   -4.39439439    0.00048062
   -4.34434434    0.00048326
   -4.29429429    0.00048593
   -4.24424424    0.00048863
   -4.19419419    0.00049136
   -4.14414414    0.00049412
   -4.09409409    0.00049691
   -4.04404404    0.00049973
   -3.99399399    0.00050258
   -3.94394394    0.00050547
   -3.89389389    0.00050839
   -3.84384384    0.00051134
   -3.79379379    0.00051433
   -3.74374374    0.00051735
   -3.69369369    0.00052041
   -3.64364364    0.00052350
   -3.59359359    0.00052663
   -3.54354354    0.00052980
   -3.49349349    0.00053300
   -3.44344344    0.00053625
   -3.39339339    0.00053953
   -3.34334334    0.00054285
   -3.29329329    0.00054622
   -3.24324324    0.00054963
   -3.19319319    0.00055308
   -3.14314314    0.00055657
   -3.09309309    0.00056011
   -3.04304304    0.00056370
   -2.99299299    0.00056733
   -2.94294294    0.00057101
   -2.89289289    0.00057473
   -2.84284284    0.00057851
   -2.79279279    0.00058234
   -2.74274274    0.00058622
   -2.69269269    0.00059015
   -2.64264264    0.00059414
   -2.59259259    0.00059818
   -2.54254254    0.00060229
   -2.49249249    0.00060644
   -2.44244244    0.00061066
   -2.39239239    0.00061494
   -2.34234234    0.00061929
   -2.29229229    0.00062370
   -2.24224224    0.00062817
   -2.19219219    0.00063272
   -2.14214214    0.00063733
   -2.09209209    0.00064202
   -2.04204204    0.00064678
   -1.99199199    0.00065162
   -1.94194194    0.00065654
   -1.89189189    0.00066154
   -1.84184184    0.00066662
   -1.79179179    0.00067180
   -1.74174174    0.00067707
   -1.69169169    0.00068243
   -1.64164164    0.00068789
   -1.59159159    0.00069345
   -1.54154154    0.00069913
   -1.49149149    0.00070491
   -1.44144144    0.00071081
   -1.39139139    0.00071684
   -1.34134134    0.00072300
   -1.29129129    0.00072930
   -1.24124124    0.00073574
   -1.19119119    0.00074234
   -1.14114114    0.00074911
