# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00036831
   -9.94994995    0.00037029
   -9.89989990    0.00037230
   -9.84984985    0.00037433
   -9.79979980    0.00037638
   -9.74974975    0.00037846
   -9.69969970    0.00038056
   -9.64964965    0.00038269
   -9.59959960    0.00038484
   -9.54954955    0.00038702
   -9.49949950    0.00038922
   -9.44944945    0.00039145
   -9.39939940    0.00039371
   -9.34934935    0.00039600
   -9.29929930    0.00039831
   -9.24924925    0.00040065
   -9.19919920    0.00040302
   -9.14914915    0.00040542
   -9.09909910    0.00040785
   -9.04904905    0.00041031
   -8.99899900    0.00041280
   -8.94894895    0.00041532
   -8.89889890    0.00041788
   -8.84884885    0.00042046
   -8.79879880    0.00042309
   -8.74874875    0.00042574
   -8.69869870    0.00042843
   -8.64864865    0.00043116
   -8.59859860    0.00043392
   -8.54854855    0.00043672
   -8.49849850    0.00043955
   -8.44844845    0.00044243
   -8.39839840    0.00044534
   -8.34834835    0.00044830
   -8.29829830    0.00045129
   -8.24824825    0.00045432
   -8.19819820    0.00045740
   -8.14814815    0.00046052
   -8.09809810    0.00046369
   -8.04804805    0.00046690
   -7.99799800    0.00047016
   -7.94794795    0.00047346
   -7.89789790    0.00047681
   -7.84784785    0.00048021
   -7.79779780    0.00048366
   -7.74774775    0.00048716
   -7.69769770    0.00049071
   -7.64764765    0.00049432
   -7.59759760    0.00049798
   -7.54754755    0.00050169
   -7.49749750    0.00050547
   -7.44744745    0.00050930
   -7.39739740    0.00051319
   -7.34734735    0.00051714
   -7.29729730    0.00052115
   -7.24724725    0.00052523
   -7.19719720    0.00052937
   -7.14714715    0.00053358
   -7.09709710    0.00053785
   -7.04704705    0.00054220
   -6.99699700    0.00054661
   -6.94694695    0.00055110
   -6.89689690    0.00055567
   -6.84684685    0.00056031
   -6.79679680    0.00056503
   -6.74674675    0.00056983
   -6.69669670    0.00057471
   -6.64664665    0.00057967
   -6.59659660    0.00058473
   -6.54654655    0.00058987
   -6.49649650    0.00059510
   -6.44644645    0.00060042
   -6.39639640    0.00060584
   -6.34634635    0.00061136
   -6.29629630    0.00061698
   -6.24624625    0.00062270
   -6.19619620    0.00062853
   -6.14614615    0.00063447
   -6.09609610    0.00064052
   -6.04604605    0.00064669
   -5.99599600    0.00065297
   -5.94594595    0.00065937
   -5.89589590    0.00066590
   -5.84584585    0.00067256
   -5.79579580    0.00067935
   -5.74574575    0.00068627
   -5.69569570    0.00069333
   -5.64564565    0.00070054
   -5.59559560    0.00070790
   -5.54554555    0.00071540
   -5.49549550    0.00072307
   -5.44544545    0.00073089
   -5.39539540    0.00073889
   -5.34534535    0.00074705
   -5.29529530    0.00075539
   -5.24524525    0.00076391
   -5.19519520    0.00077263
   -5.14514515    0.00078153
   -5.09509510    0.00079064
   -5.04504505    0.00079995
   -4.99499499    0.00080947
   -4.94494494    0.00081922
   -4.89489489    0.00082919
   -4.84484484    0.00083940
   -4.79479479    0.00084986
   -4.74474474    0.00086056
   -4.69469469    0.00087153
   -4.64464464    0.00088277
   -4.59459459    0.00089428
   -4.54454454    0.00090609
   -4.49449449    0.00091819
   -4.44444444    0.00093061
   -4.39439439    0.00094335
   -4.34434434    0.00095642
   -4.29429429    0.00096984
   -4.24424424    0.00098362
   -4.19419419    0.00099777
   -4.14414414    0.00101232
   -4.09409409    0.00102726
   -4.04404404    0.00104263
   -3.99399399    0.00105844
   -3.94394394    0.00107470
   -3.89389389    0.00109143
   -3.84384384    0.00110866
   -3.79379379    0.00112640
   -3.74374374    0.00114468
   -3.69369369    0.00116352
   -3.64364364    0.00118294
   -3.59359359    0.00120298
   -3.54354354    0.00122365
   -3.49349349    0.00124499
   -3.44344344    0.00126703
   -3.39339339    0.00128980
   -3.34334334    0.00131334
   -3.29329329    0.00133768
   -3.24324324    0.00136286
   -3.19319319    0.00138893
   -3.14314314    0.00141593
   -3.09309309    0.00144390
   -3.04304304    0.00147291
   -2.99299299    0.00150299
   -2.94294294    0.00153422
   -2.89289289    0.00156664
   -2.84284284    0.00160034
   -2.79279279    0.00163537
   -2.74274274    0.00167182
   -2.69269269    0.00170977
   -2.64264264    0.00174931
   -2.59259259    0.00179053
   -2.54254254    0.00183353
   -2.49249249    0.00187843
   -2.44244244    0.00192535
   -2.39239239    0.00197442
   -2.34234234    0.00202578
   -2.29229229    0.00207958
   -2.24224224    0.00213599
   -2.19219219    0.00219520
   -2.14214214    0.00225740
   -2.09209209    0.00232281
   -2.04204204    0.00239167
   -1.99199199    0.00246424
   -1.94194194    0.00254082
   -1.89189189    0.00262172
   -1.84184184    0.00270729
   -1.79179179    0.00279793
   -1.74174174    0.00289407
   -1.69169169    0.00299619
   -1.64164164    0.00310483
   -1.59159159    0.00322061
   -1.54154154    0.00334419
   -1.49149149    0.00347635
   -1.44144144    0.00361794
   -1.39139139    0.00376996
   -1.34134134    0.00393353
   -1.29129129    0.00410992
   -1.24124124    0.00430061
   -1.19119119    0.00450730
   -1.14114114    0.00473196
   -1.09109109    0.00497689
   -1.04104104    0.00524479
   -0.99099099    0.00553884
   -0.94094094    0.00586283
   -0.89089089    0.00622129
   -0.84084084    0.00661967
   -0.79079079    0.00706464
   -0.74074074    0.00756435
   -0.69069069    0.00812893
   -0.64064064    0.00877111
   -0.59059059    0.00950701
   -0.54054054    0.01035741
   -0.49049049    0.01134940
   -0.44044044    0.01251883
   -0.39039039    0.01391385
   -0.34034034    0.01559993
   -0.29029029    0.01766677
   -0.24024024    0.02023693
   -0.19019019    0.02347305
   -0.14014014    0.02757284
   -0.09009009    0.03263061
   -0.04004004    0.03876949
    0.01001001    0.04602688
    0.06006006    0.05363062
    0.11011011    0.06086834
    0.16016016    0.06770980
    0.21021021    0.07417237
    0.26026026    0.08054568
    0.31031031    0.08728570
    0.36036036    0.09489844
    0.41041041    0.10376069
    0.46046046    0.11401568
    0.51051051    0.12555242
    0.56056056    0.13783866
    0.61061061    0.14942325
    0.66066066    0.15757105
    0.71071071    0.15914971
    0.76076076    0.15290758
    0.81081081    0.14087515
