# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00029772
   -9.94994995    0.00029874
   -9.89989990    0.00029977
   -9.84984985    0.00030081
   -9.79979980    0.00030185
   -9.74974975    0.00030290
   -9.69969970    0.00030395
   -9.64964965    0.00030502
   -9.59959960    0.00030609
   -9.54954955    0.00030717
   -9.49949950    0.00030826
   -9.44944945    0.00030935
   -9.39939940    0.00031045
   -9.34934935    0.00031156
   -9.29929930    0.00031268
   -9.24924925    0.00031381
   -9.19919920    0.00031494
   -9.14914915    0.00031609
   -9.09909910    0.00031724
   -9.04904905    0.00031840
   -8.99899900    0.00031957
   -8.94894895    0.00032074
   -8.89889890    0.00032193
   -8.84884885    0.00032312
   -8.79879880    0.00032433
   -8.74874875    0.00032554
   -8.69869870    0.00032676
   -8.64864865    0.00032799
   -8.59859860    0.00032923
   -8.54854855    0.00033048
   -8.49849850    0.00033174
   -8.44844845    0.00033301
   -8.39839840    0.00033428
   -8.34834835    0.00033557
   -8.29829830    0.00033687
   -8.24824825    0.00033818
   -8.19819820    0.00033950
   -8.14814815    0.00034082
   -8.09809810    0.00034216
   -8.04804805    0.00034351
   -7.99799800    0.00034487
   -7.94794795    0.00034624
   -7.89789790    0.00034762
   -7.84784785    0.00034902
   -7.79779780    0.00035042
   -7.74774775    0.00035184
   -7.69769770    0.00035326
   -7.64764765    0.00035470
   -7.59759760    0.00035615
   -7.54754755    0.00035761
   -7.49749750    0.00035909
   -7.44744745    0.00036057
   -7.39739740    0.00036207
   -7.34734735    0.00036358
   -7.29729730    0.00036510
   -7.24724725    0.00036664
   -7.19719720    0.00036819
   -7.14714715    0.00036975
   -7.09709710    0.00037133
   -7.04704705    0.00037292
   -6.99699700    0.00037452
   -6.94694695    0.00037613
   -6.89689690    0.00037776
   -6.84684685    0.00037941
   -6.79679680    0.00038107
   -6.74674675    0.00038274
   -6.69669670    0.00038443
   -6.64664665    0.00038613
   -6.59659660    0.00038785
   -6.54654655    0.00038958
   -6.49649650    0.00039133
