# Final state angular momentum:   1
# Broadening parameter (in eV):    0.200
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00036785
   -9.94994995    0.00036984
   -9.89989990    0.00037184
   -9.84984985    0.00037387
   -9.79979980    0.00037592
   -9.74974975    0.00037800
   -9.69969970    0.00038010
   -9.64964965    0.00038222
   -9.59959960    0.00038437
   -9.54954955    0.00038655
   -9.49949950    0.00038875
   -9.44944945    0.00039098
   -9.39939940    0.00039324
   -9.34934935    0.00039552
   -9.29929930    0.00039783
   -9.24924925    0.00040017
   -9.19919920    0.00040254
   -9.14914915    0.00040494
   -9.09909910    0.00040737
   -9.04904905    0.00040983
   -8.99899900    0.00041232
   -8.94894895    0.00041484
   -8.89889890    0.00041740
   -8.84884885    0.00041999
   -8.79879880    0.00042261
   -8.74874875    0.00042527
   -8.69869870    0.00042796
   -8.64864865    0.00043069
   -8.59859860    0.00043345
   -8.54854855    0.00043625
   -8.49849850    0.00043909
   -8.44844845    0.00044197
   -8.39839840    0.00044488
   -8.34834835    0.00044784
   -8.29829830    0.00045084
   -8.24824825    0.00045388
   -8.19819820    0.00045696
   -8.14814815    0.00046009
   -8.09809810    0.00046326
   -8.04804805    0.00046648
   -7.99799800    0.00046974
   -7.94794795    0.00047305
   -7.89789790    0.00047641
   -7.84784785    0.00047981
   -7.79779780    0.00048327
   -7.74774775    0.00048678
   -7.69769770    0.00049034
   -7.64764765    0.00049396
   -7.59759760    0.00049763
   -7.54754755    0.00050136
   -7.49749750    0.00050514
   -7.44744745    0.00050899
   -7.39739740    0.00051289
   -7.34734735    0.00051686
   -7.29729730    0.00052089
   -7.24724725    0.00052498
   -7.19719720    0.00052914
   -7.14714715    0.00053336
   -7.09709710    0.00053766
   -7.04704705    0.00054203
   -6.99699700    0.00054647
   -6.94694695    0.00055098
   -6.89689690    0.00055557
   -6.84684685    0.00056023
   -6.79679680    0.00056498
   -6.74674675    0.00056981
   -6.69669670    0.00057472
   -6.64664665    0.00057972
   -6.59659660    0.00058480
   -6.54654655    0.00058998
   -6.49649650    0.00059525
   -6.44644645    0.00060061
   -6.39639640    0.00060607
   -6.34634635    0.00061164
   -6.29629630    0.00061730
   -6.24624625    0.00062307
   -6.19619620    0.00062895
   -6.14614615    0.00063494
   -6.09609610    0.00064105
   -6.04604605    0.00064727
   -5.99599600    0.00065361
   -5.94594595    0.00066008
   -5.89589590    0.00066668
   -5.84584585    0.00067340
   -5.79579580    0.00068027
   -5.74574575    0.00068727
   -5.69569570    0.00069442
   -5.64564565    0.00070171
   -5.59559560    0.00070916
   -5.54554555    0.00071676
   -5.49549550    0.00072452
   -5.44544545    0.00073245
   -5.39539540    0.00074056
   -5.34534535    0.00074884
   -5.29529530    0.00075730
   -5.24524525    0.00076595
   -5.19519520    0.00077480
   -5.14514515    0.00078384
   -5.09509510    0.00079310
   -5.04504505    0.00080256
   -4.99499499    0.00081225
   -4.94494494    0.00082217
   -4.89489489    0.00083233
   -4.84484484    0.00084273
   -4.79479479    0.00085339
   -4.74474474    0.00086430
   -4.69469469    0.00087549
   -4.64464464    0.00088696
   -4.59459459    0.00089873
   -4.54454454    0.00091079
   -4.49449449    0.00092317
   -4.44444444    0.00093588
   -4.39439439    0.00094892
   -4.34434434    0.00096231
   -4.29429429    0.00097607
   -4.24424424    0.00099021
   -4.19419419    0.00100474
   -4.14414414    0.00101968
   -4.09409409    0.00103505
   -4.04404404    0.00105086
   -3.99399399    0.00106713
   -3.94394394    0.00108388
   -3.89389389    0.00110114
   -3.84384384    0.00111892
   -3.79379379    0.00113725
   -3.74374374    0.00115615
   -3.69369369    0.00117564
   -3.64364364    0.00119576
   -3.59359359    0.00121653
   -3.54354354    0.00123799
   -3.49349349    0.00126016
   -3.44344344    0.00128308
   -3.39339339    0.00130678
   -3.34334334    0.00133131
   -3.29329329    0.00135670
   -3.24324324    0.00138301
   -3.19319319    0.00141027
   -3.14314314    0.00143853
   -3.09309309    0.00146786
   -3.04304304    0.00149830
   -2.99299299    0.00152992
   -2.94294294    0.00156279
   -2.89289289    0.00159696
   -2.84284284    0.00163253
   -2.79279279    0.00166957
   -2.74274274    0.00170816
   -2.69269269    0.00174841
   -2.64264264    0.00179040
   -2.59259259    0.00183427
   -2.54254254    0.00188011
   -2.49249249    0.00192806
   -2.44244244    0.00197826
   -2.39239239    0.00203086
   -2.34234234    0.00208603
   -2.29229229    0.00214394
   -2.24224224    0.00220480
   -2.19219219    0.00226881
   -2.14214214    0.00233621
   -2.09209209    0.00240726
   -2.04204204    0.00248225
   -1.99199199    0.00256148
   -1.94194194    0.00264531
   -1.89189189    0.00273412
   -1.84184184    0.00282832
   -1.79179179    0.00292840
   -1.74174174    0.00303489
   -1.69169169    0.00314836
   -1.64164164    0.00326949
   -1.59159159    0.00339902
   -1.54154154    0.00353779
   -1.49149149    0.00368674
   -1.44144144    0.00384696
   -1.39139139    0.00401968
   -1.34134134    0.00420631
   -1.29129129    0.00440847
   -1.24124124    0.00462804
   -1.19119119    0.00486718
   -1.14114114    0.00512842
   -1.09109109    0.00541473
   -1.04104104    0.00572962
   -0.99099099    0.00607723
   -0.94094094    0.00646252
   -0.89089089    0.00689146
   -0.84084084    0.00737128
   -0.79079079    0.00791082
   -0.74074074    0.00852099
   -0.69069069    0.00921537
   -0.64064064    0.01001111
   -0.59059059    0.01093001
   -0.54054054    0.01200022
   -0.49049049    0.01325857
   -0.44044044    0.01475390
   -0.39039039    0.01655186
   -0.34034034    0.01874197
   -0.29029029    0.02144738
   -0.24024024    0.02483781
   -0.19019019    0.02914329
   -0.14014014    0.03465808
   -0.09009009    0.04157027
   -0.04004004    0.05032219
    0.01001001    0.06103271
    0.06006006    0.07249629
    0.11011011    0.08360845
    0.16016016    0.09412676
    0.21021021    0.10393926
    0.26026026    0.11346823
    0.31031031    0.12289018
    0.36036036    0.13203312
    0.41041041    0.14038204
    0.46046046    0.14682314
    0.51051051    0.14977860
    0.56056056    0.14813117
    0.61061061    0.14206471
    0.66066066    0.13296672
    0.71071071    0.12255499
    0.76076076    0.11218138
    0.81081081    0.10266045
    0.86086086    0.09437397
    0.91091091    0.08740242
    0.96096096    0.08160425
    1.01101101    0.07674595
    1.06106106    0.07265578
    1.11111111    0.06921214
    1.16116116    0.06622578
    1.21121121    0.06346234
    1.26126126    0.06083174
    1.31131131    0.05849925
