# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00120863
   -9.94994995    0.00121535
   -9.89989990    0.00122214
   -9.84984985    0.00122900
   -9.79979980    0.00123593
   -9.74974975    0.00124294
   -9.69969970    0.00125002
   -9.64964965    0.00125718
   -9.59959960    0.00126442
   -9.54954955    0.00127173
   -9.49949950    0.00127912
   -9.44944945    0.00128660
   -9.39939940    0.00129415
   -9.34934935    0.00130179
   -9.29929930    0.00130951
   -9.24924925    0.00131732
   -9.19919920    0.00132521
   -9.14914915    0.00133320
   -9.09909910    0.00134127
   -9.04904905    0.00134944
   -8.99899900    0.00135769
   -8.94894895    0.00136605
   -8.89889890    0.00137449
   -8.84884885    0.00138304
   -8.79879880    0.00139168
   -8.74874875    0.00140043
   -8.69869870    0.00140927
   -8.64864865    0.00141822
   -8.59859860    0.00142728
   -8.54854855    0.00143644
   -8.49849850    0.00144572
   -8.44844845    0.00145510
   -8.39839840    0.00146460
   -8.34834835    0.00147421
   -8.29829830    0.00148394
   -8.24824825    0.00149378
   -8.19819820    0.00150375
   -8.14814815    0.00151385
   -8.09809810    0.00152406
   -8.04804805    0.00153441
   -7.99799800    0.00154488
   -7.94794795    0.00155549
   -7.89789790    0.00156623
   -7.84784785    0.00157710
   -7.79779780    0.00158812
   -7.74774775    0.00159928
   -7.69769770    0.00161058
   -7.64764765    0.00162203
   -7.59759760    0.00163363
   -7.54754755    0.00164538
   -7.49749750    0.00165729
   -7.44744745    0.00166936
   -7.39739740    0.00168158
   -7.34734735    0.00169397
   -7.29729730    0.00170653
   -7.24724725    0.00171926
   -7.19719720    0.00173216
   -7.14714715    0.00174524
   -7.09709710    0.00175850
   -7.04704705    0.00177195
   -6.99699700    0.00178558
   -6.94694695    0.00179940
   -6.89689690    0.00181342
   -6.84684685    0.00182764
   -6.79679680    0.00184206
   -6.74674675    0.00185669
   -6.69669670    0.00187153
   -6.64664665    0.00188659
   -6.59659660    0.00190186
   -6.54654655    0.00191736
   -6.49649650    0.00193309
   -6.44644645    0.00194906
   -6.39639640    0.00196526
   -6.34634635    0.00198171
   -6.29629630    0.00199841
   -6.24624625    0.00201536
   -6.19619620    0.00203258
   -6.14614615    0.00205005
   -6.09609610    0.00206781
   -6.04604605    0.00208583
   -5.99599600    0.00210415
   -5.94594595    0.00212275
   -5.89589590    0.00214165
   -5.84584585    0.00216085
   -5.79579580    0.00218036
   -5.74574575    0.00220019
   -5.69569570    0.00222035
   -5.64564565    0.00224084
   -5.59559560    0.00226166
   -5.54554555    0.00228284
   -5.49549550    0.00230437
   -5.44544545    0.00232626
   -5.39539540    0.00234853
   -5.34534535    0.00237118
   -5.29529530    0.00239422
   -5.24524525    0.00241766
   -5.19519520    0.00244151
   -5.14514515    0.00246579
   -5.09509510    0.00249049
   -5.04504505    0.00251564
   -4.99499499    0.00254124
   -4.94494494    0.00256730
   -4.89489489    0.00259385
   -4.84484484    0.00262088
   -4.79479479    0.00264841
   -4.74474474    0.00267645
   -4.69469469    0.00270503
   -4.64464464    0.00273415
   -4.59459459    0.00276382
   -4.54454454    0.00279407
   -4.49449449    0.00282490
   -4.44444444    0.00285634
   -4.39439439    0.00288840
   -4.34434434    0.00292110
   -4.29429429    0.00295445
   -4.24424424    0.00298848
   -4.19419419    0.00302319
   -4.14414414    0.00305863
   -4.09409409    0.00309479
   -4.04404404    0.00313171
   -3.99399399    0.00316941
   -3.94394394    0.00320791
   -3.89389389    0.00324724
   -3.84384384    0.00328741
   -3.79379379    0.00332847
   -3.74374374    0.00337042
   -3.69369369    0.00341330
   -3.64364364    0.00345715
   -3.59359359    0.00350198
   -3.54354354    0.00354784
   -3.49349349    0.00359475
   -3.44344344    0.00364275
   -3.39339339    0.00369188
   -3.34334334    0.00374216
   -3.29329329    0.00379365
   -3.24324324    0.00384638
   -3.19319319    0.00390040
   -3.14314314    0.00395574
   -3.09309309    0.00401246
   -3.04304304    0.00407060
   -2.99299299    0.00413022
   -2.94294294    0.00419136
   -2.89289289    0.00425408
   -2.84284284    0.00431845
   -2.79279279    0.00438451
   -2.74274274    0.00445234
   -2.69269269    0.00452200
   -2.64264264    0.00459356
   -2.59259259    0.00466710
   -2.54254254    0.00474269
   -2.49249249    0.00482042
   -2.44244244    0.00490036
   -2.39239239    0.00498262
   -2.34234234    0.00506728
   -2.29229229    0.00515444
   -2.24224224    0.00524422
   -2.19219219    0.00533672
   -2.14214214    0.00543205
   -2.09209209    0.00553035
   -2.04204204    0.00563175
   -1.99199199    0.00573638
   -1.94194194    0.00584439
   -1.89189189    0.00595594
   -1.84184184    0.00607118
   -1.79179179    0.00619031
   -1.74174174    0.00631350
   -1.69169169    0.00644095
   -1.64164164    0.00657287
   -1.59159159    0.00670949
   -1.54154154    0.00685104
   -1.49149149    0.00699778
   -1.44144144    0.00714999
   -1.39139139    0.00730794
   -1.34134134    0.00747195
   -1.29129129    0.00764235
   -1.24124124    0.00781949
   -1.19119119    0.00800376
   -1.14114114    0.00819556
   -1.09109109    0.00839532
   -1.04104104    0.00860352
   -0.99099099    0.00882064
   -0.94094094    0.00904724
   -0.89089089    0.00928387
   -0.84084084    0.00953116
   -0.79079079    0.00978977
   -0.74074074    0.01006041
   -0.69069069    0.01034382
   -0.64064064    0.01064081
   -0.59059059    0.01095224
   -0.54054054    0.01127900
   -0.49049049    0.01162207
   -0.44044044    0.01198245
   -0.39039039    0.01236120
   -0.34034034    0.01275943
   -0.29029029    0.01317829
   -0.24024024    0.01361897
   -0.19019019    0.01408271
   -0.14014014    0.01457076
   -0.09009009    0.01508196
   -0.04004004    0.01561331
    0.01001001    0.01617935
    0.06006006    0.01678273
    0.11011011    0.01742261
    0.16016016    0.01808515
    0.21021021    0.01878188
    0.26026026    0.01951438
    0.31031031    0.02028432
    0.36036036    0.02109343
    0.41041041    0.02194359
    0.46046046    0.02283683
    0.51051051    0.02377542
    0.56056056    0.02476191
    0.61061061    0.02579918
    0.66066066    0.02689052
    0.71071071    0.02803962
    0.76076076    0.02925057
    0.81081081    0.03052778
    0.86086086    0.03187588
    0.91091091    0.03329957
    0.96096096    0.03480337
    1.01101101    0.03639140
    1.06106106    0.03806709
    1.11111111    0.03983288
    1.16116116    0.04168994
    1.21121121    0.04363788
    1.26126126    0.04567451
    1.31131131    0.04779557
    1.36136136    0.04999462
    1.41141141    0.05226291
    1.46146146    0.05458933
    1.51151151    0.05696044
    1.56156156    0.05936059
    1.61161161    0.06177210
    1.66166166    0.06417560
    1.71171171    0.06655042
    1.76176176    0.06887525
    1.81181181    0.07112888
    1.86186186    0.07329117
    1.91191191    0.07534412
    1.96196196    0.07727283
    2.01201201    0.07906650
    2.06206206    0.08071899
    2.11211211    0.08222906
    2.16216216    0.08360015
    2.21221221    0.08483973
    2.26226226    0.08595825
    2.31231231    0.08696791
    2.36236236    0.08788134
    2.41241241    0.08871045
    2.46246246    0.08946548
    2.51251251    0.09015442
    2.56256256    0.09078286
    2.61261261    0.09135412
    2.66266266    0.09186975
    2.71271271    0.09233013
    2.76276276    0.09273524
    2.81281281    0.09308523
    2.86286286    0.09338095
    2.91291291    0.09362421
    2.96296296    0.09381776
    3.01301301    0.09396513
    3.06306306    0.09407017
    3.11311311    0.09413659
    3.16316316    0.09416749
    3.21321321    0.09416486
    3.26326326    0.09412943
    3.31331331    0.09406055
    3.36336336    0.09395638
    3.41341341    0.09381423
    3.46346346    0.09363108
    3.51351351    0.09340413
    3.56356356    0.09313134
    3.61361361    0.09281192
    3.66366366    0.09244664
    3.71371371    0.09203802
    3.76376376    0.09159027
    3.81381381    0.09110910
    3.86386386    0.09060135
    3.91391391    0.09007449
    3.96396396    0.08953608
    4.01401401    0.08899318
    4.06406406    0.08845186
    4.11411411    0.08791671
    4.16416416    0.08739051
    4.21421421    0.08687413
    4.26426426    0.08636651
    4.31431431    0.08586487
    4.36436436    0.08536508
    4.41441441    0.08486214
    4.46446446    0.08435071
    4.51451451    0.08382564
